Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2010-03-24,8.191786,122.877632,66.800003,27.309999,66.260002,64.75,25.76,16.707781,55.580002
2010-03-25,8.094643,123.556404,66.900002,27.4,66.550003,64.57,26.040001,16.49905,55.610001
2010-03-26,8.246429,123.575523,67.260002,27.325001,66.589996,64.379997,25.690001,16.26186,55.509998
2010-03-29,8.299643,122.93499,67.07,27.385,66.550003,64.82,25.57,16.394688,55.740002
2010-03-30,8.423214,123.107079,67.239998,27.434999,66.769997,64.900002,25.540001,16.375711,55.91
2010-03-31,8.392857,122.60994,66.720001,27.5,66.160004,65.199997,25.709999,16.271347,55.599998
2010-04-01,8.4275,122.60994,67.580002,27.65,66.68,65.769997,25.459999,16.204933,55.490002
2010-04-05,8.5175,123.661568,68.029999,27.43,65.980003,65.400002,25.58,16.034157,55.490002
2010-04-06,8.555,123.26004,67.809998,27.145,66.389999,65.309998,25.83,16.091082,55.529999
2010-04-07,8.592857,122.829826,67.699997,26.91,65.989998,65.220001,25.91,16.195446,55.279999
2010-04-08,8.569643,121.998085,68.760002,26.879999,65.970001,64.93,25.83,16.26186,55.380001
2010-04-09,8.635357,123.097511,68.68,27.295,66.360001,65.139999,26.129999,16.366224,55.07
2010-04-12,8.653214,122.715103,68.529999,27.379999,66.32,65.110001,26.200001,16.404175,55.02
2010-04-13,8.658214,123.355644,68.919998,27.51,66.389999,65.68,26.35,16.29981,54.720001
2010-04-14,8.774643,125.478012,69.419998,27.475,66.290001,65.489998,26.379999,16.195446,54.639999
2010-04-15,8.89,125.133842,69.160004,27.129999,66.269997,65.510002,26.200001,16.119545,54.130001
2010-04-16,8.835714,124.885277,69.029999,27.485001,66.139999,65.019997,25.950001,15.939279,54.110001
2010-04-19,8.823929,126.414917,69.919998,27.66,66.120003,66.029999,26.190001,15.929791,54.389999
2010-04-20,8.735357,123.986618,70.339996,27.235001,65.900002,65.989998,26.15,15.901328,54.52
2010-04-21,9.257857,123.317398,70.360001,27.094999,65.980003,65.389999,26.290001,15.749526,54.470001
