Date,AAPL,IBM,MCD,KO,PEP,JNJ
2010-07-02,8.819286,116.500954,66.139999,25.025,61.529999,59.080002
2010-07-06,8.879643,118.030594,66.110001,25.215,61.639999,59.080002
2010-07-07,9.238214,121.414917,67.309998,25.735001,62.93,60.610001
2010-07-08,9.2175,122.342255,69.019997,26.209999,64.0,61.380001
2010-07-09,9.272143,122.332695,69.220001,26.200001,63.5,60.540001
2010-07-12,9.188929,123.011475,69.940002,26.225,63.740002,60.209999
2010-07-13,8.992857,124.741875,70.839996,26.360001,63.43,60.5
2010-07-14,9.026071,124.971321,70.900002,26.41,63.560001,60.619999
2010-07-15,8.980357,124.971321,71.330002,26.424999,63.16,60.259998
2010-07-16,8.925,122.39962,69.940002,26.184999,62.450001,59.439999
2010-07-19,8.770714,124.082214,69.910004,26.135,62.049999,59.57
2010-07-20,8.996071,120.984703,70.870003,26.620001,64.730003,58.580002
2010-07-21,9.08,119.760994,70.110001,27.040001,63.950001,57.119999
2010-07-22,9.250714,121.864243,71.400002,27.129999,64.209999,57.02
2010-07-23,9.283571,122.734222,69.900002,27.375,64.449997,57.630001
2010-07-26,9.26,122.762909,70.870003,27.469999,64.980003,57.740002
2010-07-27,9.431429,122.973228,70.400002,27.525,65.690002,58.099998
2010-07-28,9.32,122.782028,69.769997,27.440001,65.199997,57.830002
2010-07-29,9.218214,122.39006,69.379997,27.495001,64.889999,57.830002
2010-07-30,9.1875,122.753349,69.730003,27.555,64.910004,58.09
2010-08-02,9.351786,125.00956,70.25,28.205,65.269997,58.720001
2010-08-03,9.354643,124.636711,70.449997,28.190001,65.769997,59.349998
2010-08-04,9.392143,125.497131,70.690002,28.275,66.169998,59.740002
2010-08-05,9.346429,126.032501,70.449997,28.184999,65.580002,59.759998
2010-08-06,9.288929,124.416824,71.739998,28.375,65.900002,59.959999
2010-08-09,9.348214,126.19503,72.919998,28.555,66.419998,60.049999
2010-08-10,9.264643,126.042068,72.839996,28.49,66.529999,59.43
2010-08-11,8.935357,124.120461,71.57,28.02,65.449997,58.5
2010-08-12,8.9925,122.657745,72.059998,27.844999,65.18,58.52
2010-08-13,8.896429,122.246651,71.889999,27.865,65.559998,58.150002
2010-08-16,8.844286,122.151054,71.790001,27.940001,65.43,58.009998
2010-08-17,8.998929,122.801147,73.220001,28.059999,65.550003,59.220001
2010-08-18,9.038214,123.699806,73.25,27.92,65.519997,59.349998
2010-08-19,8.924286,123.231361,72.970001,27.639999,64.660004,58.720001
2010-08-20,8.915714,121.892921,73.080002,27.65,64.800003,58.740002
2010-08-23,8.778571,120.908218,73.339996,27.799999,64.82,58.869999
2010-08-24,8.568929,119.407265,72.720001,27.83,64.779999,58.009998
2010-08-25,8.674643,119.760994,73.190002,27.695,64.57,57.98
2010-08-26,8.581429,117.380501,73.160004,27.58,64.129997,57.799999
2010-08-27,8.629286,119.244743,73.989998,28.08,64.120003,57.599998
2010-08-30,8.660714,117.973228,72.739998,27.775,63.599998,57.299999
2010-08-31,8.682143,117.715103,73.059998,27.940001,64.18,57.02
2010-09-01,8.940357,120.239006,74.540001,28.655001,64.889999,58.290001
2010-09-02,9.006071,119.541107,75.019997,28.690001,64.970001,58.610001
2010-09-03,9.241786,121.969406,75.089996,28.780001,65.57,58.93
2010-09-07,9.2075,120.411087,75.800003,28.815001,65.480003,58.700001
2010-09-08,9.39,120.53537,76.080002,28.915001,65.43,58.849998
2010-09-09,9.395357,120.803062,74.370003,29.145,66.099998,59.82
2010-09-10,9.4075,122.361374,75.010002,29.26,66.410004,59.98
2010-09-13,9.537143,123.910133,74.57,29.014999,66.25,60.32
2010-09-14,9.573571,123.183556,73.940002,28.795,65.980003,60.580002
2010-09-15,9.650714,123.738052,74.709999,28.709999,66.5,61.049999
2010-09-16,9.8775,123.967499,74.800003,28.754999,66.610001,61.290001
2010-09-17,9.834643,124.46463,74.32,28.780001,66.120003,61.57
2010-09-20,10.115357,125.994263,75.110001,28.985001,66.889999,62.09
2010-09-21,10.134643,126.175911,75.510002,29.055,66.459999,61.939999
2010-09-22,10.276786,126.73996,75.129997,29.115,66.660004,61.970001
2010-09-23,10.318571,125.879539,74.639999,28.934999,65.790001,61.810001
2010-09-24,10.44,128.212234,75.099998,29.309999,66.129997,62.139999
2010-09-27,10.398571,128.728485,74.760002,29.299999,66.370003,62.029999
2010-09-28,10.245,128.957932,74.629997,29.549999,66.779999,62.43
2010-09-29,10.263214,129.521988,74.449997,29.379999,66.75,62.310001
2010-09-30,10.133929,128.240921,74.510002,29.26,66.440002,61.959999
2010-10-01,10.09,129.674957,74.919998,29.559999,67.0,61.75
2010-10-04,9.951429,129.302109,74.949997,29.440001,66.870003,61.669998
2010-10-05,10.319286,131.606125,75.82,29.83,67.760002,62.799999
2010-10-06,10.328214,131.778198,75.559998,29.9,68.110001,63.209999
2010-10-07,10.329286,132.619507,75.860001,29.719999,66.099998,63.220001
2010-10-08,10.5025,132.74379,76.099998,29.705,65.75,63.23
2010-10-11,10.548571,133.518158,75.589996,29.780001,65.519997,63.299999
2010-10-12,10.662143,133.699814,75.580002,29.799999,66.080002,63.290001
2010-10-13,10.719286,134.196945,75.75,29.969999,66.400002,63.580002
2010-10-14,10.796786,135.277252,77.040001,29.955,66.639999,63.740002
2010-10-15,11.240714,134.856598,77.480003,29.969999,66.68,63.57
2010-10-18,11.357143,136.548752,77.32,30.0,66.5,63.860001
2010-10-19,11.053214,131.959854,76.989998,30.17,65.410004,63.290001
2010-10-20,11.090357,132.954117,77.410004,30.575001,64.970001,63.599998
2010-10-21,11.054286,133.680695,78.440002,30.735001,65.18,63.990002
2010-10-22,10.981071,133.527725,78.550003,30.805,65.010002,63.810001
2010-10-25,11.03,133.690247,78.699997,30.504999,65.050003,63.98
2010-10-26,11.001786,134.483749,78.760002,30.620001,64.790001,63.84
2010-10-27,10.993929,135.210327,77.480003,30.594999,64.269997,63.57
2010-10-28,10.901429,134.703629,77.480003,30.605,65.010002,63.560001
2010-10-29,10.749286,137.284897,77.769997,30.66,65.300003,63.740002
