Date,AAPL,IBM,MCD,KO,PEP,JNJ
2010-04-28,-0.001679,0.009936,-0.002694,0.009268,0.008096,0.005289
2010-04-29,0.026911,0.002767,0.016776,0.007121,0.00695,0.006035
2010-04-30,-0.028105,-0.011191,-0.013003,-0.005396,0.000307,-0.010921
2010-05-03,0.020146,0.004651,0.011758,0.0058,0.007206,0.016019
2010-05-04,-0.028797,-0.01142,-0.010921,-0.010789,-0.003958,-0.009643
2010-05-05,-0.010399,-0.005151,0.000283,0.009026,-0.003515,0.006801
2010-05-06,-0.038048,-0.027773,-0.017549,-0.025345,-0.007669,-0.026712
2010-05-07,-0.042193,-0.014687,-0.020311,0.007075,-0.002009,-0.00142
2010-05-10,0.076868,0.034152,0.037789,0.026011,0.028496,0.022745
2010-05-11,0.009961,0.00491,-0.001417,-0.007957,0.002108,-0.001236
2010-05-12,0.021714,0.04563,0.002696,0.007648,0.00586,0.003557
2010-05-13,-0.014232,-0.009044,-0.002406,-0.009811,-0.006872,-0.003544
2010-05-14,-0.017572,-0.002206,-0.012908,-0.002804,-0.006167,-0.010824
2010-05-17,0.001576,-0.005717,0.007903,0.001312,0.010292,-0.001407
2010-05-18,-0.007317,-0.003757,-0.001711,-0.005804,-0.003296,-0.014245
2010-05-19,-0.01593,-0.008388,-0.008855,0.000377,-0.007365,-0.01191
2010-05-20,-0.042603,-0.039267,-0.025072,-0.029744,-0.03301,-0.02684
2010-05-21,0.019179,0.013086,0.002956,0.00097,-0.004385,0.00545
2010-05-24,0.018323,-0.007734,-0.002947,-0.00252,-0.004089,-0.005092
2010-05-25,-0.006241,0.000562,0.00266,-0.016323,-0.006791,-0.003632
2010-05-26,-0.004527,-0.01036,-0.026975,-0.010668,-0.026395,-0.011433
2010-05-27,0.037852,0.025643,0.018027,0.022963,0.027274,-0.01056
2010-05-28,0.013933,-0.008941,-0.004911,0.003318,-0.000159,-0.012367
2010-06-01,0.015377,-0.007345,-0.007627,-0.00214,-0.002067,0.00789
2010-06-02,0.011962,0.02469,0.021248,0.021837,0.011154,0.016508
2010-06-03,-0.003145,0.004317,0.00118,0.006487,-0.001418,0.00067
2010-06-04,-0.027212,-0.020944,-0.016949,-0.028057,-0.030456,-0.029446
2010-06-07,-0.019612,-0.009179,0.00075,-0.009167,0.00472,-0.000172
2010-06-08,-0.006416,-0.003303,0.024419,0.014961,0.014904,0.011034
2010-06-09,-0.024586,0.001455,-0.001755,-0.004073,-0.002554,-0.008015
2010-06-10,0.030058,0.030508,0.016261,0.021422,0.021603,0.005673
2010-06-11,0.011976,0.006031,0.002451,-0.015253,-0.004386,-0.000684
2010-06-14,0.003037,0.000389,-0.003451,-0.002711,0.004563,-0.000684
2010-06-15,0.021276,0.010039,0.015873,0.013007,0.006108,0.012325
2010-06-16,0.029112,0.004315,-0.001563,0.004216,-0.005137,0.001691
2010-06-17,0.017287,0.004833,-0.003414,-0.000763,0.009075,-0.001013
2010-06-18,0.008092,-0.006337,-0.002427,-0.000955,-0.006358,0.0
2010-06-21,-0.01423,0.003842,0.000572,0.00325,-0.000936,-0.000845
2010-06-22,0.013621,-0.010333,-0.018307,-0.000381,-0.011246,0.000507
2010-06-23,-0.010517,0.006264,-0.000146,-0.004194,-0.009005,0.001352
2010-06-24,-0.00727,-0.014757,-0.013114,-0.008423,-0.005261,0.006077
2010-06-25,-0.00855,-0.008347,-0.004577,-0.02973,-0.026122,-0.015101
2010-06-28,0.005999,0.014632,-0.001335,0.016315,0.019582,0.012777
2010-06-29,-0.045211,-0.03016,-0.012921,-0.014683,-0.011782,-0.003532
2010-06-30,-0.018113,-0.012871,-0.008877,-0.004173,-0.004573,-0.003039
2010-07-01,-0.012126,-0.00737,0.012752,-0.001796,0.009352,0.000169
2010-07-02,-0.006198,-0.005793,-0.008544,0.0004,0.000163,0.000169
2010-07-06,0.006844,0.01313,-0.000454,0.007592,0.001788,0.0
2010-07-07,0.040381,0.028673,0.018152,0.020623,0.020928,0.025897
2010-07-08,-0.002242,0.007638,0.025405,0.018457,0.017003,0.012704
2010-07-09,0.005928,-7.8e-05,0.002898,-0.000381,-0.007812,-0.013685
2010-07-12,-0.008975,0.005549,0.010402,0.000954,0.00378,-0.005451
2010-07-13,-0.021338,0.014067,0.012868,0.005148,-0.004864,0.004816
2010-07-14,0.003693,0.001839,0.000847,0.001897,0.00205,0.001983
2010-07-15,-0.005065,0.0,0.006065,0.000568,-0.006293,-0.005939
2010-07-16,-0.006164,-0.020578,-0.019487,-0.009082,-0.011241,-0.013608
2010-07-19,-0.017287,0.013747,-0.000429,-0.001909,-0.006405,0.002187
2010-07-20,0.025694,-0.024963,0.013732,0.018558,0.043191,-0.016619
2010-07-21,0.00933,-0.010115,-0.010724,0.015778,-0.01205,-0.024923
2010-07-22,0.018801,0.017562,0.0184,0.003328,0.004066,-0.001751
2010-07-23,0.003552,0.007139,-0.021008,0.009031,0.003738,0.010698
2010-07-26,-0.002539,0.000234,0.013877,0.00347,0.008224,0.001909
2010-07-27,0.018513,0.001713,-0.006632,0.002002,0.010926,0.006235
2010-07-28,-0.011815,-0.001555,-0.008949,-0.003088,-0.007459,-0.004647
2010-07-29,-0.010921,-0.003192,-0.00559,0.002004,-0.004755,0.0
2010-07-30,-0.003332,0.002968,0.005045,0.002182,0.000308,0.004496
2010-08-02,0.017881,0.01838,0.007457,0.023589,0.005546,0.010845
2010-08-03,0.000306,-0.002983,0.002847,-0.000532,0.00766,0.010729
2010-08-04,0.004009,0.006903,0.003407,0.003015,0.006082,0.006571
2010-08-05,-0.004867,0.004266,-0.003395,-0.003183,-0.008916,0.000335
2010-08-06,-0.006152,-0.01282,0.018311,0.006741,0.00488,0.003347
2010-08-09,0.006382,0.014292,0.016448,0.006344,0.007891,0.001501
2010-08-10,-0.00894,-0.001212,-0.001097,-0.002276,0.001656,-0.010325
2010-08-11,-0.035542,-0.015246,-0.017435,-0.016497,-0.016233,-0.015649
2010-08-12,0.006395,-0.011785,0.006846,-0.006246,-0.004125,0.000342
2010-08-13,-0.010683,-0.003352,-0.002359,0.000718,0.00583,-0.006323
2010-08-16,-0.005861,-0.000782,-0.001391,0.002692,-0.001983,-0.002408
2010-08-17,0.017485,0.005322,0.019919,0.004295,0.001834,0.020859
2010-08-18,0.004366,0.007318,0.00041,-0.004989,-0.000458,0.002195
2010-08-19,-0.012605,-0.003787,-0.003823,-0.010029,-0.013126,-0.010615
2010-08-20,-0.000961,-0.010861,0.001507,0.000362,0.002165,0.000341
2010-08-23,-0.015382,-0.008078,0.003558,0.005425,0.000309,0.002213
2010-08-24,-0.023881,-0.012414,-0.008454,0.001079,-0.000617,-0.014608
2010-08-25,0.012337,0.002962,0.006463,-0.004851,-0.003242,-0.000517
2010-08-26,-0.010746,-0.019877,-0.00041,-0.004152,-0.006814,-0.003105
2010-08-27,0.005577,0.015882,0.011345,0.018129,-0.000156,-0.00346
2010-08-30,0.003642,-0.010663,-0.016894,-0.010862,-0.00811,-0.005208
2010-08-31,0.002474,-0.002188,0.004399,0.005941,0.00912,-0.004887
2010-09-01,0.029741,0.021441,0.020257,0.025591,0.011063,0.022273
2010-09-02,0.00735,-0.005804,0.006439,0.001221,0.001233,0.00549
2010-09-03,0.026173,0.020314,0.000933,0.003137,0.009235,0.00546
2010-09-07,-0.00371,-0.012776,0.009455,0.001216,-0.001373,-0.003903
2010-09-08,0.019821,0.001032,0.003694,0.00347,-0.000764,0.002555
2010-09-09,0.000571,0.002221,-0.022476,0.007954,0.01024,0.016483
2010-09-10,0.001292,0.0129,0.008606,0.003946,0.00469,0.002675
2010-09-13,0.013781,0.012657,-0.005866,-0.008373,-0.002409,0.005669
2010-09-14,0.00382,-0.005864,-0.008448,-0.007582,-0.004075,0.00431
2010-09-15,0.008058,0.004501,0.010414,-0.002952,0.007881,0.007758
2010-09-16,0.023499,0.001854,0.001205,0.001567,0.001654,0.003931
2010-09-17,-0.004339,0.00401,-0.006417,0.000869,-0.007356,0.004568
2010-09-20,0.028543,0.01229,0.01063,0.007123,0.011645,0.008446
2010-09-21,0.001907,0.001442,0.005326,0.002415,-0.006428,-0.002416
2010-09-22,0.014025,0.00447,-0.005033,0.002065,0.003009,0.000484
2010-09-23,0.004066,-0.006789,-0.006522,-0.006182,-0.013051,-0.002582
2010-09-24,0.011768,0.018531,0.006163,0.01296,0.005168,0.005339
2010-09-27,-0.003968,0.004027,-0.004527,-0.000341,0.003629,-0.00177
2010-09-28,-0.014768,0.001782,-0.001739,0.008532,0.006177,0.006449
2010-09-29,0.001778,0.004374,-0.002412,-0.005753,-0.000449,-0.001922
2010-09-30,-0.012597,-0.009891,0.000806,-0.004084,-0.004644,-0.005617
2010-10-01,-0.004335,0.011182,0.005503,0.010253,0.008429,-0.003389
2010-10-04,-0.013733,-0.002875,0.0004,-0.004059,-0.00194,-0.001296
2010-10-05,0.036965,0.017819,0.011608,0.013247,0.013309,0.018323
2010-10-06,0.000865,0.001307,-0.003429,0.002347,0.005165,0.006529
2010-10-07,0.000104,0.006384,0.00397,-0.00602,-0.029511,0.000158
2010-10-08,0.016769,0.000937,0.003164,-0.000505,-0.005295,0.000158
2010-10-11,0.004387,0.005834,-0.006702,0.002525,-0.003498,0.001107
2010-10-12,0.010767,0.001361,-0.000132,0.000672,0.008547,-0.000158
2010-10-13,0.005359,0.003718,0.002249,0.005705,0.004843,0.004582
2010-10-14,0.00723,0.00805,0.01703,-0.0005,0.003614,0.002517
2010-10-15,0.041117,-0.00311,0.005711,0.000501,0.0006,-0.002667
2010-10-18,0.010358,0.012548,-0.002065,0.001001,-0.002699,0.004562
2010-10-19,-0.026761,-0.033606,-0.004268,0.005667,-0.016391,-0.008926
2010-10-20,0.00336,0.007535,0.005455,0.013424,-0.006727,0.004898
2010-10-21,-0.003252,0.005465,0.013306,0.005233,0.003232,0.006132
2010-10-22,-0.006623,-0.001144,0.001402,0.002278,-0.002608,-0.002813
2010-10-25,0.004456,0.001217,0.00191,-0.009739,0.000615,0.002664
2010-10-26,-0.002558,0.005935,0.000762,0.00377,-0.003997,-0.002188
2010-10-27,-0.000714,0.005403,-0.016252,-0.000817,-0.008026,-0.004229
2010-10-28,-0.008414,-0.003747,0.0,0.000327,0.011514,-0.000157
2010-10-29,-0.013956,0.019163,0.003743,0.001797,0.004461,0.002832
2010-11-01,0.010632,-0.00195,0.001414,0.00636,0.003828,-0.000784
2010-11-02,0.017029,0.003628,0.006677,0.002431,0.003814,0.002983
2010-11-03,0.01112,0.002294,0.001275,0.001455,-0.009119,0.004853
2010-11-04,0.017487,0.018173,0.008662,0.008071,0.002301,0.00888
2010-11-05,-0.003582,0.000886,0.001516,0.002082,-0.004132,-0.001699
2010-11-08,0.004698,-0.003131,0.000126,-0.001918,0.000461,-0.00495
2010-11-09,-0.007972,-0.002185,-0.002648,0.002882,0.002918,-0.000311
2010-11-10,0.006169,0.002806,0.005057,-0.001437,-0.000766,-0.005598
2010-11-11,-0.004339,-0.007642,0.002516,0.003997,-0.005364,-0.000469
2010-11-12,-0.027223,-0.011621,-0.010665,0.001911,-0.004006,-0.003911
2010-11-15,-0.003214,-0.000696,0.00279,0.000636,-0.003403,0.007382
2010-11-16,-0.01775,-0.009747,-0.020868,-0.013977,-0.005899,-0.015591
2010-11-17,-0.003614,-0.002039,0.012271,0.007088,-0.001562,-0.001267
2010-11-18,0.026389,0.016978,0.008294,0.021113,0.012981,0.012211
2010-11-19,-0.005512,0.00478,0.007846,0.007519,-0.000926,0.0
2010-11-22,0.021615,0.002344,-0.001507,-0.000777,-0.000155,-0.00329
2010-11-23,-0.014775,-0.0152,-0.006413,-0.010114,-0.012519,-0.011789
2010-11-24,0.019661,0.018369,0.005949,0.015561,0.006887,0.00668
2010-11-26,0.000635,-0.013099,-0.011827,-0.007739,-0.006684,-0.015642
2010-11-29,0.005937,-0.007019,-0.003565,-0.011231,0.001721,-0.00626
2010-11-30,-0.018052,-0.010008,0.000511,-0.003471,0.009686,-0.005815
2010-12-01,0.016873,0.020854,0.012644,0.02422,0.015473,0.014135
2010-12-02,0.005531,0.005332,0.001135,0.003091,-0.006552,0.002884
2010-12-03,-0.002232,0.001378,0.004787,-0.006163,-0.00046,-0.000639
2010-12-06,0.008537,-0.002683,-0.002257,-0.007907,-0.006751,-0.005754
2010-12-07,-0.00606,-0.00669,0.00955,0.002344,-0.000772,0.001768
2010-12-08,0.008799,0.006666,-0.019915,0.003898,-0.000773,0.002247
2010-12-09,-0.003894,-0.00469,-0.014351,0.006833,0.001393,-0.006245
2010-12-10,0.002502,0.003604,-0.000644,-0.002776,0.002781,-0.002417
2010-12-13,0.003463,-0.003729,-0.005802,0.003094,0.009707,-0.000808
2010-12-14,-0.00429,0.010674,0.0,-0.014649,0.000916,0.014711
2010-12-15,0.000219,-0.007544,-0.001686,0.013145,-0.005336,-0.003186
2010-12-16,0.002778,-0.001175,-0.003507,0.009268,0.007817,-0.002717
2010-12-17,-0.001992,0.003113,0.001304,0.00551,0.003346,0.002244
2010-12-20,0.00499,-0.003379,0.001432,-0.005936,0.005154,-0.000799
2010-12-21,0.006176,0.008511,-0.00078,0.002756,-0.013723,-0.0024
2010-12-22,0.002961,0.001441,0.001952,0.001527,0.004281,-0.005133
2010-12-23,-0.004798,-0.000411,-0.000649,-0.000152,0.000152,0.003708
2010-12-27,0.003337,-0.00377,-0.006887,-0.007777,-0.00411,-0.005141
2010-12-28,0.002433,0.002546,0.0,0.004457,-0.00214,0.001938
2010-12-29,-0.000553,0.005559,0.007327,0.001377,0.000766,0.001289
2010-12-30,-0.005011,0.001024,-0.002987,0.000764,-0.003214,-0.003058
2010-12-31,-0.003399,0.000614,0.0,0.004122,0.003225,-0.001453
2011-01-03,0.021732,0.004906,-0.002084,-0.008362,0.006429,0.015683
2011-01-04,0.005219,0.001085,-0.029896,-0.020699,-0.005171,0.008437
2011-01-05,0.00818,-0.003996,0.00471,-0.00595,0.01804,-0.000631
2011-01-06,-0.000808,0.010949,-0.006027,-0.007245,0.003754,-0.00158
2011-01-07,0.007161,-0.004911,0.002156,-0.001745,-0.006732,-0.00965
2011-01-10,0.018833,-0.00196,-0.010892,0.002225,-0.005121,-0.007029
2011-01-11,-0.002365,-0.002438,0.004622,-0.005867,0.004239,0.00177
2011-01-12,0.008137,0.012357,-0.00406,0.005583,0.00603,0.003694
2011-01-13,0.003658,-0.001878,-0.012636,0.005711,0.002697,0.00656
2011-01-14,0.0081,0.007929,0.019128,-0.004259,-0.001943,-0.005722
2011-01-18,-0.022469,0.004333,0.008372,0.005544,-0.003145,-0.007194
2011-01-19,-0.005313,0.033455,0.008972,-0.000945,-0.010065,0.007407
2011-01-20,-0.01818,0.000707,-0.002521,-0.007726,0.0,0.004795
2011-01-21,-0.017915,-0.001926,-0.001996,-0.002543,-0.000455,-0.003182
2011-01-24,0.032842,0.026559,0.004933,0.007647,0.004706,-0.007022
2011-01-25,0.011705,0.011339,0.001327,-0.004585,-0.006195,-0.018322
2011-01-26,0.007176,-0.002478,-0.004107,0.0,0.001368,-0.007859
2011-01-27,-0.001861,0.000186,-0.010909,-0.00413,-0.004555,0.00132
2011-01-28,-0.020716,-0.011548,-0.014391,-0.007815,-0.017694,-0.011042
2011-01-31,0.00958,0.017524,0.005322,0.010288,-0.001398,-0.003999
2011-02-01,0.016828,0.00963,-0.002715,0.003182,0.011507,0.014389
2011-02-02,-0.002058,-0.00159,0.002314,-0.003013,-0.006149,-0.000165
2011-02-03,-0.002556,0.001408,0.00258,-0.004613,-0.00727,0.002969
2011-02-04,0.00891,0.002874,0.00298,-0.00016,-0.005298,0.000658
2011-02-07,0.015527,0.005,-0.008103,-0.000639,-0.002506,0.000493
2011-02-08,0.009435,0.007463,0.026004,0.005598,0.007695,0.00115
2011-02-09,0.008333,-0.008431,0.007564,0.004454,0.003896,-0.000985
2011-02-10,-0.010107,-0.003401,-0.002239,0.006176,-0.016454,0.000821
2011-02-11,0.006515,-0.001463,0.005016,0.000472,0.008049,-0.003775
2011-02-14,0.006529,-0.003845,0.001313,-0.006764,-0.008298,0.0
2011-02-15,0.002005,-0.002328,-0.00118,0.000792,0.015946,-0.001318
2011-02-16,0.008975,0.003439,-0.001707,0.003323,-0.006061,-0.00165
2011-02-17,-0.013301,0.005141,-0.000526,0.018139,0.01157,0.004461
2011-02-18,-0.021602,0.003653,0.001974,0.0,-0.019938,0.005264
2011-02-22,-0.034088,-0.017532,-0.005648,-0.012239,-0.0041,-0.007527
2011-02-23,0.011843,-0.010929,-0.006737,0.002353,-0.003484,-0.004287
2011-02-24,0.000759,0.003683,0.000266,-0.000469,0.001589,-0.002318
2011-02-25,0.015399,0.009392,-0.010238,0.006731,0.009043,-0.010124
2011-02-28,0.014505,-0.002465,0.016658,-0.006064,-0.00283,0.030181
2011-03-01,-0.011042,-0.011799,-0.010439,0.015488,-0.003311,-0.012044
2011-03-02,0.008044,0.001188,-0.002671,-0.007395,-0.004271,0.001812
2011-03-03,0.021129,0.020729,0.020752,0.017694,0.012869,0.003947
2011-03-04,0.001224,-0.010093,-0.002754,-0.00549,-0.00549,0.000164
2011-03-07,-0.012889,-0.011741,0.00342,0.000153,0.001104,-0.010809
2011-03-08,0.001126,0.014694,-0.009831,0.00644,0.005042,0.005132
2011-03-09,-0.009248,0.022061,0.003177,-0.000305,0.013482,-0.005106
2011-03-10,-0.016455,-0.023152,0.011876,-0.005029,-0.003403,-0.013079
2011-03-11,0.015346,0.002531,0.000652,-0.007352,0.003415,0.001342
2011-03-14,0.00446,-0.006403,-0.013815,-0.013424,-0.007889,-0.009382
2011-03-15,-0.022995,-0.014685,-0.007268,-0.014232,-0.017618,-0.010993
2011-03-16,-0.04464,-0.037857,-0.023163,-0.022688,-0.011109,-0.014022
2011-03-17,0.01403,0.007712,0.000273,0.011039,0.012358,0.008151
2011-03-18,-0.011864,0.011091,-0.005586,0.006744,0.002536,0.007569
2011-03-21,0.026099,0.011482,0.010549,0.013876,0.013599,0.004439
2011-03-22,0.0056,0.002029,0.001491,-0.000944,-0.002496,-0.00068
2011-03-23,-0.005891,0.009684,0.008935,0.011967,0.004066,-0.001191
2011-03-24,0.017041,0.003197,0.005367,0.006535,0.0,0.005279
2011-03-25,0.019045,0.013372,0.004271,0.008193,-0.003427,-0.000847
2011-03-28,-0.003129,-0.004994,-0.003322,-0.002913,0.005627,0.004408
2011-03-29,0.001484,0.009357,0.004933,0.010611,-0.002798,-0.000338
2011-03-30,-0.006639,0.00442,0.005838,0.004869,0.013872,0.002702
2011-03-31,-0.000344,-0.00324,0.003693,0.004543,-0.009839,-0.002189
2011-04-01,-0.011334,0.007359,-0.001314,0.013265,0.012576,0.004051
2011-04-04,-0.009781,-0.000122,0.005264,0.006546,-0.001993,0.011094
2011-04-05,-0.006741,-0.001583,0.002749,-0.002808,0.007528,-0.005819
2011-04-06,-0.002508,0.000305,0.001567,0.002371,0.002592,-0.002341
2011-04-07,0.000118,0.002073,-0.009254,-0.002809,0.002586,-0.003017
2011-04-08,-0.008933,-0.002007,0.000395,-0.002521,-0.002882,-0.000336
2011-04-11,-0.012714,-0.00061,0.002762,0.001933,0.004716,0.006727
2011-04-12,0.004837,-0.00427,0.005377,-0.007418,0.008025,0.001336
2011-04-13,0.011221,0.004288,0.003,0.00568,-0.001803,-0.005672
2011-04-14,-0.011037,0.006221,0.002341,0.015309,0.003762,0.007047
2011-04-15,-0.014921,0.007517,0.004022,-0.004392,0.006147,0.008997
2011-04-18,0.013406,-0.001624,-0.004911,-0.010293,0.000596,-0.001651
