Date,AAPL,IBM,MCD
2010-07-07,9.238214,121.414917,67.309998
2010-07-08,9.2175,122.342255,69.019997
2010-07-09,9.272143,122.332695,69.220001
2010-07-12,9.188929,123.011475,69.940002
2010-07-13,8.992857,124.741875,70.839996
2010-07-14,9.026071,124.971321,70.900002
2010-07-15,8.980357,124.971321,71.330002
2010-07-16,8.925,122.39962,69.940002
2010-07-19,8.770714,124.082214,69.910004
2010-07-20,8.996071,120.984703,70.870003
2010-07-21,9.08,119.760994,70.110001
2010-07-22,9.250714,121.864243,71.400002
2010-07-23,9.283571,122.734222,69.900002
2010-07-26,9.26,122.762909,70.870003
2010-07-27,9.431429,122.973228,70.400002
2010-07-28,9.32,122.782028,69.769997
2010-07-29,9.218214,122.39006,69.379997
2010-07-30,9.1875,122.753349,69.730003
2010-08-02,9.351786,125.00956,70.25
2010-08-03,9.354643,124.636711,70.449997
2010-08-04,9.392143,125.497131,70.690002
2010-08-05,9.346429,126.032501,70.449997
2010-08-06,9.288929,124.416824,71.739998
2010-08-09,9.348214,126.19503,72.919998
2010-08-10,9.264643,126.042068,72.839996
2010-08-11,8.935357,124.120461,71.57
2010-08-12,8.9925,122.657745,72.059998
2010-08-13,8.896429,122.246651,71.889999
2010-08-16,8.844286,122.151054,71.790001
2010-08-17,8.998929,122.801147,73.220001
2010-08-18,9.038214,123.699806,73.25
2010-08-19,8.924286,123.231361,72.970001
2010-08-20,8.915714,121.892921,73.080002
2010-08-23,8.778571,120.908218,73.339996
2010-08-24,8.568929,119.407265,72.720001
2010-08-25,8.674643,119.760994,73.190002
2010-08-26,8.581429,117.380501,73.160004
2010-08-27,8.629286,119.244743,73.989998
2010-08-30,8.660714,117.973228,72.739998
2010-08-31,8.682143,117.715103,73.059998
2010-09-01,8.940357,120.239006,74.540001
2010-09-02,9.006071,119.541107,75.019997
2010-09-03,9.241786,121.969406,75.089996
2010-09-07,9.2075,120.411087,75.800003
2010-09-08,9.39,120.53537,76.080002
2010-09-09,9.395357,120.803062,74.370003
2010-09-10,9.4075,122.361374,75.010002
2010-09-13,9.537143,123.910133,74.57
2010-09-14,9.573571,123.183556,73.940002
2010-09-15,9.650714,123.738052,74.709999
2010-09-16,9.8775,123.967499,74.800003
2010-09-17,9.834643,124.46463,74.32
2010-09-20,10.115357,125.994263,75.110001
2010-09-21,10.134643,126.175911,75.510002
2010-09-22,10.276786,126.73996,75.129997
2010-09-23,10.318571,125.879539,74.639999
2010-09-24,10.44,128.212234,75.099998
2010-09-27,10.398571,128.728485,74.760002
2010-09-28,10.245,128.957932,74.629997
2010-09-29,10.263214,129.521988,74.449997
2010-09-30,10.133929,128.240921,74.510002
2010-10-01,10.09,129.674957,74.919998
2010-10-04,9.951429,129.302109,74.949997
2010-10-05,10.319286,131.606125,75.82
2010-10-06,10.328214,131.778198,75.559998
2010-10-07,10.329286,132.619507,75.860001
2010-10-08,10.5025,132.74379,76.099998
2010-10-11,10.548571,133.518158,75.589996
2010-10-12,10.662143,133.699814,75.580002
2010-10-13,10.719286,134.196945,75.75
2010-10-14,10.796786,135.277252,77.040001
2010-10-15,11.240714,134.856598,77.480003
2010-10-18,11.357143,136.548752,77.32
2010-10-19,11.053214,131.959854,76.989998
2010-10-20,11.090357,132.954117,77.410004
2010-10-21,11.054286,133.680695,78.440002
2010-10-22,10.981071,133.527725,78.550003
2010-10-25,11.03,133.690247,78.699997
2010-10-26,11.001786,134.483749,78.760002
2010-10-27,10.993929,135.210327,77.480003
2010-10-28,10.901429,134.703629,77.480003
2010-10-29,10.749286,137.284897,77.769997
2010-11-01,10.863571,137.017212,77.879997
2010-11-02,11.048571,137.514343,78.400002
2010-11-03,11.171429,137.829834,78.5
2010-11-04,11.366786,140.33461,79.18
2010-11-05,11.326071,140.458893,79.300003
2010-11-08,11.379286,140.019119,79.309998
2010-11-09,11.288571,139.713196,79.099998
2010-11-10,11.358214,140.105164,79.5
2010-11-11,11.308929,139.034424,79.699997
2010-11-12,11.001071,137.418732,78.849998
2010-11-15,10.965714,137.323135,79.07
2010-11-16,10.771071,135.984711,77.419998
2010-11-17,10.732143,135.707458,78.370003
2010-11-18,11.015357,138.011475,79.019997
2010-11-19,10.954643,138.671127,79.639999
2010-11-22,11.191429,138.99617,79.519997
2010-11-23,11.026071,136.883362,79.010002
2010-11-24,11.242857,139.397705,79.480003
2010-11-26,11.25,137.571701,78.540001
2010-11-29,11.316786,136.606125,78.260002
2010-11-30,11.1125,135.238998,78.300003
2010-12-01,11.3,138.05928,79.290001
2010-12-02,11.3625,138.79541,79.379997
2010-12-03,11.337143,138.986618,79.760002
2010-12-06,11.433929,138.61377,79.580002
2010-12-07,11.364643,137.686417,80.339996
2010-12-08,11.464643,138.604202,78.739998
2010-12-09,11.42,137.954117,77.610001
2010-12-10,11.448571,138.451248,77.559998
2010-12-13,11.488214,137.934998,77.110001
2010-12-14,11.438929,139.407272,77.110001
2010-12-15,11.441429,138.355637,76.980003
2010-12-16,11.473214,138.193115,76.709999
2010-12-17,11.450357,138.623322,76.809998
2010-12-20,11.5075,138.154877,76.919998
2010-12-21,11.578571,139.33078,76.860001
2010-12-22,11.612857,139.531555,77.010002
2010-12-23,11.557143,139.474182,76.959999
2010-12-27,11.595714,138.94838,76.43
2010-12-28,11.623929,139.302109,76.43
2010-12-29,11.6175,140.076477,76.989998
2010-12-30,11.559286,140.219879,76.760002
2010-12-31,11.52,140.305923,76.760002
2011-01-03,11.770357,140.994263,76.599998
2011-01-04,11.831786,141.147232,74.309998
2011-01-05,11.928571,140.583176,74.660004
2011-01-06,11.918929,142.122375,74.209999
2011-01-07,12.004286,141.424469,74.370003
2011-01-10,12.230357,141.147232,73.559998
2011-01-11,12.201429,140.803055,73.900002
2011-01-12,12.300714,142.543015,73.599998
2011-01-13,12.345714,142.27533,72.669998
2011-01-14,12.445714,143.403442,74.059998
2011-01-18,12.166071,144.024857,74.68
2011-01-19,12.101429,148.843216,75.349998
2011-01-20,11.881429,148.94838,75.160004
2011-01-21,11.668571,148.661575,75.010002
2011-01-24,12.051786,152.60994,75.379997
2011-01-25,12.192857,154.340347,75.480003
2011-01-26,12.280357,153.957932,75.169998
2011-01-27,12.2575,153.986618,74.349998
2011-01-28,12.003571,152.20842,73.279999
2011-01-31,12.118571,154.875717,73.669998
2011-02-01,12.3225,156.367111,73.470001
2011-02-02,12.297143,156.118546,73.639999
2011-02-03,12.265714,156.338425,73.830002
2011-02-04,12.375,156.787766,74.050003
2011-02-07,12.567143,157.571701,73.449997
2011-02-08,12.685714,158.747604,75.360001
2011-02-09,12.791429,157.40918,75.93
2011-02-10,12.662143,156.87381,75.760002
2011-02-11,12.744643,156.644363,76.139999
2011-02-14,12.827857,156.042068,76.239998
2011-02-15,12.853571,155.678772,76.150002
2011-02-16,12.968929,156.214142,76.019997
2011-02-17,12.796429,157.017212,75.980003
2011-02-18,12.52,157.59082,76.129997
2011-02-22,12.093214,154.827911,75.699997
2011-02-23,12.236429,153.135757,75.190002
2011-02-24,12.245714,153.699814,75.209999
2011-02-25,12.434286,155.143402,74.440002
2011-02-28,12.614643,154.761002,75.68
2011-03-01,12.475357,152.934998,74.889999
2011-03-02,12.575714,153.116638,74.690002
2011-03-03,12.841429,156.290634,76.239998
