Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,241.729996,242.250000,239.500000,241.130005,228.057419,2013800
2021-09-15,240.470001,241.270004,238.179993,240.979996,227.915573,2507200
2021-09-16,240.289993,243.589996,239.949997,243.210007,230.024673,3410700
2021-09-17,243.839996,244.630005,241.880005,242.490005,229.343704,4756600
2021-09-20,239.880005,241.960007,236.639999,239.089996,226.128021,4549900
2021-09-21,240.000000,242.350006,239.399994,240.500000,227.461578,2008300
2021-09-22,241.800003,245.860001,241.470001,243.130005,229.948990,3361900
2021-09-23,243.740005,245.949997,243.529999,244.779999,231.509552,2941700
2021-09-24,246.639999,247.380005,245.240005,246.419998,233.060623,2508800
2021-09-27,246.000000,248.899994,245.279999,248.110001,234.659012,2463300
2021-09-28,247.289993,247.710007,242.910004,243.770004,230.554321,3007500
2021-09-29,244.380005,245.710007,243.149994,244.279999,231.036652,1719000
2021-09-30,244.770004,245.419998,240.820007,241.110001,228.038528,3136800
2021-10-01,243.070007,244.690002,240.250000,242.929993,229.759842,2076000
2021-10-04,242.059998,244.809998,241.860001,243.080002,229.901718,2236500
2021-10-05,243.970001,246.880005,243.009995,245.220001,231.925705,2463100
2021-10-06,244.559998,247.160004,243.020004,247.100006,233.703781,2107900
2021-10-07,248.000000,249.949997,247.679993,248.320007,234.857666,2423900
2021-10-08,249.250000,249.630005,247.110001,247.699997,234.271240,1687500
2021-10-11,248.100006,249.139999,246.449997,246.580002,233.211960,1504000
2021-10-12,247.729996,248.600006,244.179993,244.520004,231.263657,2346700
2021-10-13,243.270004,243.869995,239.899994,242.649994,229.495041,3214300
2021-10-14,242.880005,245.419998,242.039993,244.550003,231.292023,2512000
2021-10-15,245.240005,246.380005,241.990005,242.250000,229.116730,2564700
2021-10-18,242.419998,243.449997,241.130005,242.259995,229.126175,2484900
2021-10-19,243.220001,243.929993,241.529999,242.770004,229.608521,2071600
2021-10-20,240.399994,242.649994,239.289993,239.720001,226.723877,3040200
2021-10-21,240.169998,241.910004,239.309998,241.399994,228.312790,2702400
2021-10-22,240.710007,242.240005,238.000000,238.440002,225.513275,3283700
2021-10-25,239.229996,239.250000,236.500000,237.339996,224.472900,3178400
2021-10-26,237.470001,238.399994,236.139999,236.419998,223.602783,3066400
2021-10-27,241.050003,244.619995,238.850006,242.729996,229.570709,5249400
2021-10-28,243.399994,246.080002,242.529999,245.500000,232.190521,3448500
2021-10-29,243.000000,246.089996,242.470001,245.550003,232.237808,4329400
2021-11-01,245.800003,251.690002,245.339996,250.580002,236.995102,4456200
2021-11-02,251.759995,252.220001,248.160004,249.240005,235.727768,2624300
2021-11-03,247.990005,251.130005,247.910004,250.399994,236.824875,2399000
2021-11-04,251.119995,254.179993,250.199997,253.460007,239.718994,2711000
2021-11-05,254.690002,257.529999,254.619995,254.710007,240.901199,3224300
2021-11-08,254.779999,255.649994,251.929993,253.100006,239.378525,2471300
2021-11-09,252.910004,253.690002,250.449997,252.649994,238.952866,2258900
2021-11-10,250.809998,253.720001,250.809998,253.130005,239.406891,1794300
2021-11-11,253.330002,253.330002,249.259995,250.160004,236.597885,1640500
2021-11-12,250.149994,251.009995,248.889999,250.669998,237.080215,1625200
2021-11-15,250.669998,253.759995,250.669998,252.940002,239.227173,1709200
2021-11-16,253.500000,254.190002,252.380005,252.460007,238.773209,2195500
2021-11-17,252.410004,253.339996,250.520004,252.690002,238.990723,1412000
2021-11-18,253.160004,253.490005,251.080002,253.479996,239.737900,1751200
2021-11-19,253.289993,253.320007,250.229996,251.949997,238.290802,2743100
2021-11-22,252.669998,255.449997,252.210007,253.479996,239.737900,2438700
2021-11-23,254.809998,255.789993,253.050003,255.649994,241.790253,2770000
2021-11-24,254.500000,257.790009,254.050003,257.109985,243.171082,2642800
2021-11-26,252.509995,253.160004,248.270004,250.009995,236.455994,2573300
2021-11-29,251.850006,252.320007,249.830002,250.300003,236.730316,2084600
2021-11-30,247.380005,247.899994,243.949997,244.600006,232.621841,3836100
2021-12-01,245.759995,250.899994,244.110001,244.179993,232.222397,3275300
2021-12-02,245.660004,250.339996,245.000000,248.800003,236.616180,3290500
2021-12-03,250.320007,250.679993,247.570007,249.330002,237.120224,3229900
2021-12-06,252.399994,256.929993,252.369995,255.789993,243.263870,3616800
2021-12-07,256.950012,260.380005,256.450012,259.910004,247.182114,2596200
2021-12-08,260.000000,262.809998,259.089996,259.579987,246.868286,3453100
2021-12-09,259.500000,263.100006,258.359985,262.339996,249.493103,2955100
2021-12-10,263.880005,265.269989,262.429993,264.970001,251.994293,2529600
2021-12-13,264.220001,265.859985,262.399994,263.089996,250.206360,2878800
2021-12-14,263.000000,263.589996,261.750000,262.519989,249.664276,3695500
2021-12-15,262.160004,265.670013,261.410004,264.519989,251.566360,2641800
2021-12-16,265.559998,266.890015,264.089996,265.549988,252.545929,2347700
2021-12-17,264.000000,264.850006,260.880005,261.700012,248.884445,5943200
2021-12-20,259.630005,261.959991,258.429993,261.730011,248.912979,2824500
2021-12-21,264.290009,266.480011,263.420013,264.390015,251.442749,2851800
2021-12-22,264.320007,265.440002,264.070007,264.940002,251.965790,1795100
2021-12-23,265.920013,267.369995,265.450012,265.950012,252.926331,1509800
2021-12-27,266.470001,268.260010,266.000000,268.239990,255.104156,1485500
2021-12-28,267.579987,269.220001,267.250000,267.880005,254.761795,1304000
2021-12-29,268.450012,269.720001,267.950012,268.489990,255.341904,1318500
2021-12-30,269.000000,269.260010,266.700012,267.209991,254.124649,1714600
2021-12-31,268.000000,269.119995,267.209991,268.070007,254.942474,1519200
2022-01-03,269.489990,270.730011,265.559998,268.579987,255.427490,2750600
2022-01-04,269.500000,271.149994,268.269989,268.510010,255.360962,2506000
2022-01-05,269.299988,270.279999,266.899994,267.190002,254.105606,2473000
2022-01-06,268.119995,270.760010,267.799988,269.690002,256.483185,2908400
2022-01-07,268.559998,270.170013,267.000000,267.059998,253.981964,2209100
2022-01-10,266.709991,266.720001,262.010010,264.410004,251.461716,3122400
2022-01-11,263.489990,263.950012,260.320007,262.119995,249.283905,3206200
2022-01-12,263.369995,263.950012,260.279999,260.920013,248.142654,3044000
2022-01-13,261.410004,263.850006,260.589996,261.410004,248.608673,2371300
2022-01-14,261.140015,261.239990,257.160004,257.709991,245.089828,3460100
2022-01-18,256.959991,257.100006,254.309998,256.480011,243.920074,3076500
2022-01-19,257.549988,257.950012,255.080002,255.220001,242.721771,2304700
2022-01-20,256.619995,258.109985,252.899994,253.130005,240.734131,2602200
2022-01-21,254.039993,258.459991,253.690002,254.589996,242.122620,3738100
2022-01-24,252.380005,253.919998,247.779999,253.610001,241.190628,5153100
2022-01-25,250.830002,252.529999,247.070007,250.679993,238.404083,3908600
2022-01-26,253.000000,254.210007,247.860001,249.850006,237.614746,3839000
2022-01-27,249.600006,252.460007,245.250000,248.740005,236.559113,5199000
2022-01-28,250.000000,256.350006,247.160004,256.089996,243.549164,3833200
2022-01-31,255.020004,259.500000,254.440002,259.450012,246.744614,3174200
2022-02-01,259.750000,259.899994,255.580002,258.989990,246.307129,2496500
2022-02-02,258.829987,262.609985,258.489990,262.279999,249.436081,2371500
2022-02-03,262.000000,262.799988,260.070007,260.640015,247.876373,2242200
2022-02-04,259.869995,261.730011,257.790009,260.059998,247.324768,1989700
2022-02-07,261.000000,261.579987,259.170013,259.850006,247.125031,1959300
2022-02-08,260.500000,262.380005,259.100006,260.079987,247.343796,2920000
2022-02-09,261.989990,262.880005,259.410004,259.859985,247.134552,2379300
2022-02-10,258.600006,260.440002,255.970001,256.869995,244.290985,3246600
2022-02-11,256.869995,258.760010,254.729996,255.160004,242.664703,3592700
2022-02-14,255.910004,256.250000,251.679993,253.389999,240.981415,2825800
2022-02-15,254.820007,256.920013,253.559998,253.809998,241.380829,2171500
2022-02-16,253.770004,254.600006,251.199997,253.089996,240.696075,2941800
2022-02-17,251.479996,252.880005,250.000000,250.929993,238.641861,2831900
2022-02-18,250.339996,252.289993,250.009995,250.600006,238.328018,2813500
2022-02-22,250.009995,254.699997,249.600006,252.699997,240.325180,3980500
2022-02-23,253.529999,253.850006,247.080002,247.789993,235.655609,3497200
2022-02-24,242.929993,245.580002,239.610001,245.029999,233.030792,4856000
2022-02-25,246.000000,249.529999,243.630005,249.449997,237.234360,4549700
2022-02-28,244.440002,245.720001,242.360001,244.770004,234.078491,4410400
2022-03-01,242.300003,243.600006,238.300003,239.630005,229.162994,3910700
2022-03-02,240.850006,242.740005,239.610001,240.940002,230.415771,4482000
2022-03-03,241.009995,242.339996,235.679993,236.649994,226.313156,4707400
2022-03-04,234.619995,236.389999,231.639999,235.809998,225.509857,4184100
2022-03-07,234.309998,234.309998,224.190002,224.330002,214.531296,5425000
2022-03-08,224.330002,229.740005,222.199997,222.789993,213.058548,5258800
2022-03-09,226.789993,227.250000,222.009995,222.470001,212.752548,5630500
2022-03-10,220.199997,222.050003,217.679993,222.000000,212.303055,5444900
2022-03-11,224.740005,229.110001,224.199997,226.869995,216.960327,6126300
2022-03-14,226.779999,228.440002,223.160004,226.179993,216.300476,4436100
2022-03-15,227.979996,234.570007,227.979996,232.570007,222.411377,5087400
2022-03-16,234.869995,238.210007,234.360001,238.139999,227.738052,4173200
2022-03-17,236.440002,237.470001,234.539993,237.470001,227.097321,3752800
