,Date,Optimal Weights,Portfolio Returns,Portfolio Risks
0,2021-10-12,[0.149316 0.234093 0.616591],-0.009732,0.008385
1,2021-10-13,[0.129496 0.226981 0.643523],-0.005002,0.008404
2,2021-10-14,[0.159051 0.24433  0.596619],0.012454,0.008384
3,2021-10-15,[0.079639 0.206571 0.71379 ],-0.004357,0.008523
4,2021-10-18,[0.186327 0.208148 0.605525],-0.001072,0.008389
5,2021-10-19,[0.111505 0.20198  0.686515],0.002644,0.008455
6,2021-10-20,[0.124453 0.181079 0.694468],-0.008408,0.00847
7,2021-10-21,[0.230798 0.175436 0.593766],-0.012276,0.008471
8,2021-10-22,[0.249901 0.049092 0.701007],-0.010089,0.009009
9,2021-10-25,[0.28062  0.031384 0.687997],-0.003327,0.009169
10,2021-10-26,[0.265669 0.121949 0.612381],-0.001645,0.008676
11,2021-10-27,[0.26288  0.091036 0.646084],0.015013,0.008798
12,2021-10-28,[0.483401 0.100775 0.415825],0.017366,0.009795
13,2021-10-29,[0.263807 0.187315 0.548878],-0.005779,0.008518
14,2021-11-01,[0.201144 0.143004 0.655852],0.013656,0.008524
15,2021-11-02,[0.358692 0.164911 0.476397],-0.000126,0.008897
16,2021-11-03,[0.299443 0.180775 0.519782],0.006714,0.00863
17,2021-11-04,[0.22097 0.15615 0.62288],0.005953,0.0085
18,2021-11-05,[0.331059 0.165232 0.503709],0.00696,0.008771
19,2021-11-08,[0.293839 0.14796  0.5582  ],-0.004047,0.00867
20,2021-11-09,[0.265275 0.137947 0.596778],-0.004496,0.008622
21,2021-11-10,[0.303537 0.11976  0.576703],-0.005345,0.008782
22,2021-11-11,[0.226381 0.126474 0.647144],-0.007617,0.008598
23,2021-11-12,[0.296091 0.156088 0.547821],0.003662,0.008659
24,2021-11-15,[0.241588 0.156896 0.601517],0.005345,0.008526
25,2021-11-16,[0.277234 0.14462  0.578146],0.000252,0.008632
26,2021-11-17,[0.242545 0.166998 0.590457],0.003974,0.008505
27,2021-11-18,[0.222993 0.165191 0.611816],0.006317,0.008481
28,2021-11-19,[0.172876 0.175099 0.652025],-0.001916,0.008437
29,2021-11-22,[0.217415 0.171537 0.611047],0.004968,0.008461
30,2021-11-23,[0.204394 0.179451 0.616155],0.006263,0.008435
31,2021-11-24,[0.233153 0.177394 0.589453],0.004041,0.008471
32,2021-11-26,[0.212364 0.201572 0.586065],-0.0245,0.008413
33,2021-11-29,[0.19931  0.28885  0.511841],0.011663,0.00847
34,2021-11-30,[0.228695 0.209495 0.56181 ],-0.008047,0.00843
35,2021-12-01,[0.224007 0.222088 0.553905],-0.002011,0.00842
36,2021-12-02,[0.268864 0.229338 0.501799],0.007807,0.008521
37,2021-12-03,[0.249844 0.216278 0.533878],0.001797,0.008469
38,2021-12-06,[0.273224 0.216151 0.510625],0.021051,0.008529
39,2021-12-07,[0.240743 0.261311 0.497947],0.020193,0.008484
40,2021-12-08,[0.209098 0.250269 0.540634],0.007041,0.008414
41,2021-12-09,[0.190729 0.220998 0.588274],0.006677,0.008385
42,2021-12-10,[0.190805 0.237032 0.572163],0.012078,0.008387
43,2021-12-13,[0.171162 0.240966 0.587871],-0.010642,0.008381
44,2021-12-14,[0.170475 0.223054 0.606471],-0.000535,0.008379
45,2021-12-15,[0.160996 0.229765 0.609239],0.008024,0.00838
46,2021-12-16,[0.158721 0.232947 0.608331],0.001473,0.008381
47,2021-12-17,[0.157019 0.234311 0.60867 ],-0.00711,0.008381
48,2021-12-20,[0.174661 0.238086 0.587253],-0.001987,0.00838
49,2021-12-21,[0.163029 0.23518  0.601791],0.012763,0.00838
50,2021-12-22,[0.165823 0.230712 0.603465],0.005191,0.008379
51,2021-12-23,[0.168466 0.229485 0.602049],0.004465,0.008379
52,2021-12-27,[0.161691 0.230006 0.608303],0.010696,0.00838
53,2021-12-28,[0.161713 0.233006 0.605281],4.3e-05,0.00838
54,2021-12-29,[0.168026 0.228578 0.603396],0.002699,0.008379
55,2021-12-30,[0.166513 0.229507 0.60398 ],-0.003011,0.008379
56,2021-12-31,[0.169678 0.228577 0.601745],0.00091,0.008379
57,2022-01-03,[0.065047 0.30424  0.630712],0.008243,0.01095
58,2022-01-04,[0.027696 0.203161 0.769143],0.002405,0.011401
