Date,AAPL,IBM,MCD
2010-06-24,-0.00727,-0.014757,-0.013114
2010-06-25,-0.00855,-0.008347,-0.004577
2010-06-28,0.005999,0.014632,-0.001335
2010-06-29,-0.045211,-0.03016,-0.012921
2010-06-30,-0.018113,-0.012871,-0.008877
2010-07-01,-0.012126,-0.00737,0.012752
2010-07-02,-0.006198,-0.005793,-0.008544
2010-07-06,0.006844,0.01313,-0.000454
2010-07-07,0.040381,0.028673,0.018152
2010-07-08,-0.002242,0.007638,0.025405
2010-07-09,0.005928,-7.8e-05,0.002898
2010-07-12,-0.008975,0.005549,0.010402
2010-07-13,-0.021338,0.014067,0.012868
2010-07-14,0.003693,0.001839,0.000847
2010-07-15,-0.005065,0.0,0.006065
2010-07-16,-0.006164,-0.020578,-0.019487
2010-07-19,0.009765,-0.02277,-0.002878
2010-07-20,0.025694,-0.024963,0.013732
2010-07-21,0.00933,-0.010115,-0.010724
2010-07-22,0.018801,0.017562,0.0184
2010-07-23,0.003552,0.007139,-0.021008
2010-07-26,-0.002539,0.000234,0.013877
2010-07-27,0.018513,0.001713,-0.006632
2010-07-28,0.003796,-0.000739,-0.006111
2010-07-29,-0.010921,-0.003192,-0.00559
2010-07-30,-0.003332,0.002968,0.005045
2010-08-02,-0.001513,-7e-06,0.003946
2010-08-03,0.000306,-0.002983,0.002847
2010-08-04,0.004009,0.006903,0.003407
2010-08-05,-0.001071,-0.002958,0.010859
2010-08-06,-0.006152,-0.01282,0.018311
2010-08-09,0.006382,0.014292,0.016448
2010-08-10,-0.00894,-0.001212,-0.001097
2010-08-11,-0.035542,-0.015246,-0.017435
2010-08-12,0.006395,-0.011785,0.006846
2010-08-13,-0.010683,-0.003352,-0.002359
2010-08-16,-0.005861,-0.000782,-0.001391
2010-08-17,0.017485,0.005322,0.019919
2010-08-18,0.004366,0.007318,0.00041
2010-08-19,-0.012605,-0.003787,-0.003823
2010-08-20,-0.000961,-0.010861,0.001507
2010-08-23,-0.015382,-0.008078,0.003558
2010-08-24,-0.023881,-0.012414,-0.008454
2010-08-25,0.012337,0.002962,0.006463
2010-08-26,-0.010746,-0.019877,-0.00041
2010-08-27,0.005577,0.015882,0.011345
2010-08-30,0.003642,-0.010663,-0.016894
2010-08-31,0.002474,-0.002188,0.004399
2010-09-01,0.029741,0.021441,0.020257
2010-09-02,0.00735,-0.005804,0.006439
2010-09-03,0.026173,0.020314,0.000933
2010-09-07,-0.00371,-0.012776,0.009455
2010-09-08,0.019821,0.001032,0.003694
2010-09-09,0.000571,0.002221,-0.022476
2010-09-10,0.001292,0.0129,0.008606
2010-09-13,0.013781,0.012657,-0.005866
2010-09-14,0.00382,-0.005864,-0.008448
2010-09-15,0.01366,-0.002005,-0.003622
2010-09-16,0.023499,0.001854,0.001205
2010-09-17,-0.004339,0.00401,-0.006417
2010-09-20,0.028543,0.01229,0.01063
2010-09-21,0.001907,0.001442,0.005326
2010-09-22,0.014025,0.00447,-0.005033
2010-09-23,0.004066,-0.006789,-0.006522
2010-09-24,0.011768,0.018531,0.006163
2010-09-27,-0.003968,0.004027,-0.004527
2010-09-28,-0.014768,0.001782,-0.001739
2010-09-29,0.001778,0.004374,-0.002412
2010-09-30,-0.012597,-0.009891,0.000806
2010-10-01,-0.004335,0.011182,0.005503
2010-10-04,-0.013733,-0.002875,0.0004
2010-10-05,0.036965,0.017819,0.011608
2010-10-06,0.000865,0.001307,-0.003429
2010-10-07,0.000104,0.006384,0.00397
2010-10-08,0.016769,0.000937,0.003164
2010-10-11,0.013768,0.001149,0.001516
2010-10-12,0.010767,0.001361,-0.000132
2010-10-13,0.005359,0.003718,0.002249
2010-10-14,0.00723,0.00805,0.01703
2010-10-15,0.008794,0.010299,0.007482
2010-10-18,0.010358,0.012548,-0.002065
2010-10-19,-0.026761,-0.033606,-0.004268
2010-10-20,0.00336,0.007535,0.005455
2010-10-21,-0.003252,0.005465,0.013306
2010-10-22,-0.006623,-0.001144,0.001402
2010-10-25,-0.00459,0.002396,0.001082
2010-10-26,-0.002558,0.005935,0.000762
2010-10-27,-0.000714,0.005403,-0.016252
2010-10-28,-0.008414,-0.003747,0.0
2010-10-29,-0.013956,0.019163,0.003743
2010-11-01,-0.005597,0.01354,0.00292
2010-11-02,0.002761,0.007917,0.002098
2010-11-03,0.01112,0.002294,0.001275
2010-11-04,0.017487,0.018173,0.008662
2010-11-05,-0.003582,0.000886,0.001516
2010-11-08,-0.003771,-0.001246,0.001766
2010-11-09,-0.003961,-0.003378,0.002016
2010-11-10,-0.00415,-0.00551,0.002266
2010-11-11,-0.004339,-0.007642,0.002516
2010-11-12,-0.027223,-0.011621,-0.010665
2010-11-15,-0.003214,-0.000696,0.00279
2010-11-16,-0.01775,-0.009747,-0.020868
2010-11-17,-0.003614,-0.002039,0.012271
2010-11-18,0.026389,0.016978,0.008294
2010-11-19,-0.005512,0.00478,0.007846
2010-11-22,0.021615,0.002344,-0.001507
2010-11-23,-0.014775,-0.0152,-0.006413
2010-11-24,-0.00707,-0.014149,-0.00912
2010-11-26,0.000635,-0.013099,-0.011827
2010-11-29,0.005937,-0.007019,-0.003565
2010-11-30,-0.018052,-0.010008,0.000511
2010-12-01,0.016873,0.020854,0.012644
2010-12-02,0.005531,0.005332,0.001135
2010-12-03,-0.002232,0.001378,0.004787
2010-12-06,0.008537,-0.002683,-0.002257
2010-12-07,-0.00606,-0.00669,0.00955
2010-12-08,0.008799,0.006666,-0.019915
2010-12-09,0.00565,0.005135,-0.010279
2010-12-10,0.002502,0.003604,-0.000644
2010-12-13,0.003463,-0.003729,-0.005802
2010-12-14,-0.00429,0.010674,0.0
2010-12-15,0.000219,-0.007544,-0.001686
2010-12-16,0.002778,-0.001175,-0.003507
2010-12-17,-0.001992,0.003113,0.001304
2010-12-20,0.00499,-0.003379,0.001432
2010-12-21,0.006176,0.008511,-0.00078
2010-12-22,0.002961,0.001441,0.001952
2010-12-23,-0.004798,-0.000411,-0.000649
2010-12-27,0.003337,-0.00377,-0.006887
2010-12-28,0.002433,0.002546,0.0
2010-12-29,-0.000553,0.005559,0.007327
2010-12-30,-0.005011,0.001024,-0.002987
2010-12-31,-0.003399,0.000614,0.0
2011-01-03,0.021732,0.004906,-0.002084
2011-01-04,0.005219,0.001085,-0.029896
2011-01-05,0.00818,-0.003996,0.00471
2011-01-06,-0.000808,0.010949,-0.006027
2011-01-07,0.007161,-0.004911,0.002156
2011-01-10,0.018833,-0.00196,-0.010892
2011-01-11,-0.002365,-0.002438,0.004622
2011-01-12,0.000646,-0.002158,-0.004007
2011-01-13,0.003658,-0.001878,-0.012636
2011-01-14,0.0081,0.007929,0.019128
2011-01-18,-0.022469,0.004333,0.008372
2011-01-19,-0.005313,0.033455,0.008972
2011-01-20,-0.01818,0.000707,-0.002521
2011-01-21,-0.017915,-0.001926,-0.001996
2011-01-24,0.032842,0.026559,0.004933
2011-01-25,0.011705,0.011339,0.001327
2011-01-26,0.007176,-0.002478,-0.004107
2011-01-27,-0.001861,0.000186,-0.010909
2011-01-28,-0.020716,-0.011548,-0.014391
2011-01-31,0.00958,0.017524,0.005322
2011-02-01,0.016828,0.00963,-0.002715
2011-02-02,-0.002058,-0.00159,0.002314
