,Date,Optimal Weights,Portfolio Returns,Portfolio Risks
0,2021-10-12,[0.130157 0.270575 0.599268],-0.009914,0.008426
1,2021-10-13,[0.136998 0.231836 0.631166],-0.004929,0.008395
2,2021-10-14,[0.139814 0.265277 0.594909],0.012442,0.008411
3,2021-10-15,[0.111822 0.197137 0.691042],-0.003982,0.008462
4,2021-10-18,[0.129872 0.224219 0.645909],-0.001991,0.008405
5,2021-10-19,[0.148684 0.193305 0.658011],0.003165,0.008417
6,2021-10-20,[0.131802 0.224997 0.643201],-0.007764,0.008402
7,2021-10-21,[0.155948 0.26023  0.583822],-0.020565,0.008397
8,2021-10-22,[0.232829 0.032855 0.734316],-0.01035,0.0091
9,2021-10-25,[0.244992 0.043483 0.711526],-0.003446,0.009039
10,2021-10-26,[0.25192  0.053791 0.694289],-0.001753,0.008983
11,2021-10-27,[0.257093 0.065848 0.677059],0.016246,0.008919
12,2021-10-28,[0.33138  0.095498 0.573122],0.015334,0.008968
13,2021-10-29,[0.223381 0.144866 0.631752],-0.004779,0.008534
14,2021-11-01,[0.177012 0.175837 0.647151],0.013923,0.008434
15,2021-11-02,[0.223883 0.198188 0.577928],-0.001655,0.00843
16,2021-11-03,[0.223695 0.224943 0.551362],0.006452,0.008419
17,2021-11-04,[0.214555 0.244166 0.541279],0.004479,0.008415
18,2021-11-05,[0.220465 0.268483 0.511052],0.00912,0.008457
19,2021-11-08,[0.258486 0.197476 0.544039],-0.003388,0.008496
20,2021-11-09,[0.246189 0.22731  0.526501],-0.007066,0.008462
21,2021-11-10,[0.290127 0.134489 0.575384],-0.005168,0.008695
22,2021-11-11,[0.218242 0.17196  0.609799],-0.007157,0.008461
23,2021-11-12,[0.225467 0.20988  0.564652],0.002098,0.008424
24,2021-11-15,[0.209051 0.22622  0.564729],0.004957,0.0084
25,2021-11-16,[0.213812 0.252498 0.53369 ],-0.000458,0.008423
26,2021-11-17,[0.212719 0.267595 0.519687],0.003078,0.008443
27,2021-11-18,[0.184384 0.291906 0.52371 ],0.003437,0.008463
28,2021-11-19,[0.136014 0.301925 0.562061],-0.002662,0.008484
29,2021-11-22,[0.140306 0.307922 0.551771],0.004876,0.008498
30,2021-11-23,[0.147094 0.314911 0.537995],0.005827,0.008517
31,2021-11-24,[0.156304 0.32381  0.519887],0.003316,0.008547
32,2021-11-26,[0.160911 0.329736 0.509353],-0.021762,0.008571
33,2021-11-29,[0.05071  0.464981 0.484309],0.012472,0.00945
34,2021-11-30,[0.043714 0.313578 0.642708],-0.016961,0.008686
35,2021-12-01,[0.117167 0.323591 0.559242],-0.001833,0.008563
36,2021-12-02,[0.120229 0.349168 0.530603],0.009243,0.008658
37,2021-12-03,[0.138264 0.392351 0.469386],0.00589,0.008873
38,2021-12-06,[0.163347 0.328234 0.508419],0.01964,0.008566
39,2021-12-07,[0.145703 0.401748 0.452549],0.018049,0.008931
40,2021-12-08,[0.075856 0.418175 0.505969],0.006039,0.009079
41,2021-12-09,[0.065788 0.404204 0.530008],0.007247,0.009011
42,2021-12-10,[0.083815 0.423671 0.492514],0.009068,0.009103
43,2021-12-13,[0.050976 0.463853 0.485171],-0.010141,0.009441
44,2021-12-14,[0.039765 0.434125 0.52611 ],0.00272,0.009253
45,2021-12-15,[0.056466 0.417032 0.526502],0.00343,0.009106
46,2021-12-16,[0.038771 0.442261 0.518968],0.010629,0.00931
47,2021-12-17,[0.067064 0.317223 0.615713],-0.00566,0.00863
48,2021-12-20,[0.074662 0.35003  0.575308],-0.001474,0.008725
49,2021-12-21,[0.077055 0.371618 0.551327],0.01266,0.008816
50,2021-12-22,[0.073229 0.340147 0.586625],0.004399,0.00869
51,2021-12-23,[0.071516 0.355018 0.573465],0.004854,0.008752
52,2021-12-27,[0.082165 0.359176 0.558658],0.009421,0.008749
53,2021-12-28,[0.061103 0.372614 0.566283],0.001747,0.008853
54,2021-12-29,[0.072875 0.367765 0.55936 ],0.003307,0.008805
55,2021-12-30,[0.085825 0.366669 0.547505],-0.001635,0.008777
56,2021-12-31,[0.091174 0.375217 0.53361 ],0.000695,0.008811
57,2022-01-03,[0.100749 0.376337 0.522914],0.010215,0.010837
58,2022-01-04,[0.073322 0.289338 0.63734 ],0.003114,0.011
59,2022-01-05,[0.089602 0.259151 0.651247],-0.005209,0.011114
60,2022-01-06,[0.046818 0.304645 0.648537],-0.001061,0.010948
61,2022-01-07,[0.056257 0.247182 0.696561],-0.007669,0.01116
62,2022-01-10,[0.073029 0.271552 0.655419],-0.006093,0.011061
63,2022-01-11,[0.084836 0.302207 0.612958],-0.008719,0.010966
64,2022-01-12,[0.131455 0.242996 0.625549],-0.001209,0.011217
65,2022-01-13,[0.136912 0.262055 0.601033],0.000819,0.011157
66,2022-01-14,[0.124774 0.271276 0.60395 ],-0.009018,0.011107
67,2022-01-18,[0.149555 0.296773 0.553672],-0.008277,0.011082
68,2022-01-19,[0.117062 0.29568  0.587258],-0.008371,0.011021
69,2022-01-20,[0.084737 0.291928 0.623335],-0.007667,0.010997
70,2022-01-21,[0.082365 0.308704 0.608931],-0.001008,0.010946
71,2022-01-24,[0.085567 0.288951 0.625483],-0.004008,0.011007
72,2022-01-25,[0.091067 0.299447 0.609486],0.008844,0.010979
73,2022-01-26,[0.135797 0.125723 0.738479],-0.004221,0.011803
74,2022-01-27,[0.148461 0.133762 0.717777],-0.00536,0.011766
75,2022-01-28,[0.158255 0.141666 0.700079],0.033846,0.011732
76,2022-01-31,[-0.        0.227367  0.772633],0.008565,0.011321
77,2022-02-01,[-0.        0.272888  0.727112],0.002715,0.011109
78,2022-02-02,[-0.        0.278766  0.721234],0.0127,0.011085
79,2022-02-03,[-0.        0.293642  0.706358],-0.003283,0.011026
80,2022-02-04,[-0.        0.328441  0.671559],-0.002996,0.010909
81,2022-02-07,[-0.        0.350958  0.649042],-0.000294,0.010847
82,2022-02-08,[-0.        0.373848  0.626152],-4.5e-05,0.010795
83,2022-02-09,[0.006785 0.38896  0.604254],0.001731,0.010763
84,2022-02-10,[0.019821 0.389227 0.590951],-0.019329,0.010757
85,2022-02-11,[0.01389  0.185417 0.800693],-0.006764,0.011524
86,2022-02-14,[1.12000e-04 2.25449e-01 7.74438e-01],-0.009688,0.011331
87,2022-02-15,[0.040136 0.181392 0.778472],0.001927,0.011506
88,2022-02-16,[0.032474 0.222919 0.744606],-0.003461,0.011292
89,2022-02-17,[0.047371 0.244958 0.707671],-0.015031,0.011175
90,2022-02-18,[0.04841  0.087152 0.864438],-0.002022,0.012111
91,2022-02-22,[0.053414 0.123851 0.822735],0.005515,0.011846
92,2022-02-23,[0.06636  0.167829 0.765812],-0.019102,0.011557
93,2022-02-24,[0.022695 0.212551 0.764754],-0.008313,0.011359
